"dpmc","cpmc","cpjg","cpxl","splj","cppj"
"华为莫问专卖店","Huawei/华为 nova 2 Plus前置暗光拍摄 智能美颜","¥2599.00","该款月成交 1634笔","https://detail.tmall.com/item.htm?id=551625647199&skuId=3731767547884&user_id=2615238525&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"努比亚官方旗舰店","nubia/努比亚 Z17mini 6G版1300万双摄 6+64GB","¥1299.00","该款月成交 3874笔","https://detail.tmall.com/item.htm?id=548999134257&skuId=3498882174143&user_id=1677335387&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"努比亚官方旗舰店","nubia/努比亚 Z17 8+64GB无边框设计 变焦双摄 骁龙835","¥2499.00","该款月成交 1174笔","https://detail.tmall.com/item.htm?id=559612504297&skuId=3492065813646&user_id=1677335387&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"美图百诚世纪专卖店","Meitu/美图 M8S前置双摄、自拍神器","¥4299.00","该款月成交 2145笔","https://detail.tmall.com/item.htm?id=560356943607&skuId=3682145899092&user_id=2973189474&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"金立手机旗舰店","Gionee/金立 S10四摄拍照更美，3D拍照，多人自拍","¥1999.00","该款月成交 1489笔","https://detail.tmall.com/item.htm?id=551520008292&skuId=3536175174770&user_id=720912157&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"金立手机旗舰店","Gionee/金立 大金钢2大金钢2","¥1599.00","该款月成交 1295笔","https://detail.tmall.com/item.htm?id=558972345188&skuId=3650850943440&user_id=720912157&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"华为莫问专卖店","Huawei/华为 nova一指美拍 实时美妆","¥1198.00","该款月成交 1897笔","https://detail.tmall.com/item.htm?id=539335610662&skuId=3591366702907&user_id=2615238525&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"岸越数码专营店","Xiaomi/小米 红米Note2千元旗舰，青春首先","¥499.00","该款月成交 1283笔","https://detail.tmall.com/item.htm?id=561517040981&skuId=3707940747656&user_id=872196368&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"htc官方旗舰店","HTC U-1w3D曲面屏 前置1600W","¥2299.00","该款月成交 690笔","https://detail.tmall.com/item.htm?id=545621655861&skuId=3568595034453&user_id=1602863680&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"htc官方旗舰店","HTC U11 EYEs前置双摄 人脸识别 边框触控","¥3299.00","该款月成交 214笔","https://detail.tmall.com/item.htm?id=563959482884&skuId=3556758272897&user_id=1602863680&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"博珏数码专营店","Xiaomi/小米 小米4 2GB内存版","¥619.00","该款月成交 257笔","https://detail.tmall.com/item.htm?id=530656785266&skuId=3445365507857&user_id=865186036&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"魅族思潼专卖店","Meizu/魅族 魅蓝E全网通2.5D玻璃屏/3G运存安全快充","¥748.00","该款月成交 432笔","https://detail.tmall.com/item.htm?id=537447693269&skuId=3211835106434&user_id=1061014296&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"岸越数码专营店","Xiaomi/小米 红米手机3S指纹识别/金属机身/4100mAh电池","¥699.00","该款月成交 305笔","https://detail.tmall.com/item.htm?id=561593156421&skuId=3704776619088&user_id=872196368&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"博海宇通数码专营店","Coolpad/酷派 Y91-9213D玻璃后壳 双安全系统","¥699.00","该款月成交 588笔","https://detail.tmall.com/item.htm?id=531692715592&skuId=3556125562645&user_id=1963544026&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"ZTE中兴官方旗舰店","ZTE/中兴 A3超值Face ID 人脸解锁 大电池","¥799.00","该款月成交 1031笔","https://detail.tmall.com/item.htm?id=560401421483&skuId=3502051536665&user_id=2765414748&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"小辣椒旗舰店","小辣椒 红辣椒6X无边框设计 3GB","¥899.00","该款月成交 796笔","https://detail.tmall.com/item.htm?id=560207193452&skuId=3499065808505&user_id=2011807058&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"ouki旗舰店","OUKI/欧奇 OKP6 Pro10000毫安电池全网通4g指纹解锁","¥2999.00","该款月成交 393笔","https://detail.tmall.com/item.htm?id=561211597965&skuId=3515299281094&user_id=1808121360&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"360手机旗舰店","360 F4S3G+32G内存|4000mAh电池|闪充","¥749.00","该款月成交 323笔","https://detail.tmall.com/item.htm?id=544528902070&skuId=3553135032547&user_id=2067447407&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"小辣椒旗舰店","小辣椒 红辣椒6百元双摄 3+32GB","¥849.00","该款月成交 371笔","https://detail.tmall.com/item.htm?id=552473367595&skuId=3549304256150&user_id=2011807058&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"蒙奇数码专营店","K-Touch/天语 8818","¥698.00","该款月成交 495笔","https://detail.tmall.com/item.htm?id=564408871163&skuId=3562573648736&user_id=1764645385&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"江苏电信良晋专卖店","商务领航 360 vizza","¥799.00","该款月成交 231笔","https://detail.tmall.com/item.htm?id=563784502132&skuId=3554902109547&user_id=843758393&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"sugar手机旗舰店","Sugar S96400万像素更清晰","¥2199.00","该款月成交 53笔","https://detail.tmall.com/item.htm?id=545558247397&skuId=3455915294717&user_id=2415673568&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"百灵佳讯数码专营店","创星（手机） X5三防智能手机","¥799.00","该款月成交 1220笔","https://detail.tmall.com/item.htm?id=562843983939&skuId=3710971326374&user_id=1778130756&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"誉品旗舰店","YEPEN/誉品 誉品NOTE 15.5英寸大屏 指纹解锁全网通","¥599.00","该款月成交 1169笔","https://detail.tmall.com/item.htm?id=560457493957&skuId=3677110623988&user_id=1850245027&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"sugar手机旗舰店","Sugar C964G内存 5.5英寸大屏","¥999.00","该款月成交 750笔","https://detail.tmall.com/item.htm?id=557784690721&skuId=3460494516876&user_id=2415673568&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"晋商兆睿数码专营店","ZTE/中兴 A2S大内存 拍照手机 智能全网通手机","¥599.00","该款月成交 899笔","https://detail.tmall.com/item.htm?id=559101970480&skuId=3646610703981&user_id=1124960044&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"voto旗舰店","VOTO GT13","¥659.00","该款月成交 658笔","https://detail.tmall.com/item.htm?id=554829610278&skuId=3609457110636&user_id=828791068&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"21克旗舰店","21KE M3L5.0寸大屏  老人定制系统 双桌面","¥599.00","该款月成交 215笔","https://detail.tmall.com/item.htm?id=537165593075&skuId=3207422168185&user_id=1956317368&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"爱贝多旗舰店","爱贝多 COMIO M1","¥998.00","该款月成交 110笔","https://detail.tmall.com/item.htm?id=543567386807&skuId=3271532021240&user_id=585019591&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"守护宝旗舰店","守护宝 上海中兴F5","¥699.00","该款月成交 313笔","https://detail.tmall.com/item.htm?id=555070865703&skuId=3422994716146&user_id=3328381361&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"同步飞扬数码专营店","Huawei/华为 麦芒5 全网通1600万像素 光学防抖","¥1558.00","该款月成交 1541笔","https://detail.tmall.com/item.htm?id=537034864162&skuId=3709974823452&user_id=1800399917&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"oppo熊鑫专卖店","OPPO A77 3GB+32GB1600万臻美自拍","¥1599.00","该款月成交 333笔","https://detail.tmall.com/item.htm?id=559311891054&skuId=3648916547177&user_id=392511208&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"华飞数码专营店","honor/荣耀 V8后置1200W双摄","¥1399.00","该款月成交 250笔","https://detail.tmall.com/item.htm?id=545523566184&skuId=3455732802143&user_id=1657780380&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"时器数码专营店","OPPO R11全网通前后2000万 稀缺配色","¥2999.00","该款月成交 73笔","https://detail.tmall.com/item.htm?id=553693965937&skuId=3403971701748&user_id=1732742584&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"金立金声专卖店","Gionee/金立 F5","¥999.00","该款月成交 205笔","https://detail.tmall.com/item.htm?id=545828992520&skuId=3296011505670&user_id=1661991562&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"金万吉数码专营店","SMARTISAN/锤子 坚果Pro 32GB版双摄1300W 双面玻璃 新系统3.5","¥1099.00","该款月成交 190笔","https://detail.tmall.com/item.htm?id=555669458868&skuId=3431476929500&user_id=1898764315&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"gionee金立圆周率专卖店","Gionee/金立 M6 128G大内存 智能手机","¥2399.00","该款月成交 64笔","https://detail.tmall.com/item.htm?id=538257634082&skuId=3215449829222&user_id=2262875813&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"久汇数码专营店","Huawei/华为 畅享5全网通4G手机","¥699.00","该款月成交 146笔","https://detail.tmall.com/item.htm?id=560043444234&skuId=3723508586658&user_id=1659902905&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"家友数码通讯专营店","Hisense/海信 小海豚Pro4G+64G大内存 4000毫安大电池","¥949.00","该款月成交 183笔","https://detail.tmall.com/item.htm?id=560286495031&skuId=3519465345995&user_id=179181787&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"和来达数码专营店","Meizu/魅族 魅蓝5全网通2.5D玻璃屏/正面指纹长续航","¥569.00","该款月成交 313笔","https://detail.tmall.com/item.htm?id=544759691353&skuId=3686590774374&user_id=1730436394&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"agm手机旗舰店","AGM(手机) X1军工三防  全网通4G","¥2199.00","该款月成交 119笔","https://detail.tmall.com/item.htm?id=554938577705&skuId=3615264511752&user_id=3350574230&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"国美手机旗舰店","Gome/国美 U7虹膜识别 人脸识别","¥1399.00","该款月成交 109笔","https://detail.tmall.com/item.htm?id=563408169810&skuId=3716059075076&user_id=3295598228&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"21克旗舰店","21KE m2s4.0英寸4G智能老人机 双喇叭 双摄像头","¥499.00","该款月成交 372笔","https://detail.tmall.com/item.htm?id=532895798726&skuId=3178415551954&user_id=1956317368&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"亿博鸿信数码专营店","Gionee/金立 W909高端配置翻盖手机大气奢华","¥3999.00","该款月成交 269笔","https://detail.tmall.com/item.htm?id=529357969804&skuId=3152682231566&user_id=681012294&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"小米创粤专卖店","Xiaomi/小米 小米手机5c松果芯片 2.2G高频","¥1259.00","该款月成交 203笔","https://detail.tmall.com/item.htm?id=545998610344&skuId=3297437989864&user_id=3112025040&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"旭翼数码专营店","Huawei/华为 mate8新代旗舰芯片；体验便捷网络","¥2108.00","该款月成交 206笔","https://detail.tmall.com/item.htm?id=540339941887&skuId=3525611056737&user_id=682299517&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"久汇数码专营店","360 N5全网通6G超大内存|骁龙653|4000mAh电池","¥1349.00","该款月成交 393笔","https://detail.tmall.com/item.htm?id=545535390203&skuId=3480321978883&user_id=1659902905&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"旭翼数码专营店","Huawei/华为 P9 3GB+32GB徕卡双摄像头 大光圈拍照模式","¥1628.00","该款月成交 173笔","https://detail.tmall.com/item.htm?id=555599970938&skuId=3600153355580&user_id=682299517&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"金立金声专卖店","Gionee/金立 M20172K柔性屏","¥6999.00","该款月成交 62笔","https://detail.tmall.com/item.htm?id=543827039317&skuId=3277722437538&user_id=1661991562&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"三星宏远祥龙专卖店","Samsung/三星 Galaxy C9 Pro SM-C90006GB运存+64GB内存 前后1600W像素","¥2399.00","该款月成交 2515笔","https://detail.tmall.com/item.htm?id=541026822650&skuId=3246242345999&user_id=1847396744&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"小米创粤专卖店","Xiaomi/小米 小米手机5s plus双13MP高画质相机 5.7""大屏","¥1799.00","该款月成交 430笔","https://detail.tmall.com/item.htm?id=550715161594&skuId=3358571888047&user_id=3112025040&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"博海宇通数码专营店","Coolpad/酷派 Cool Changer 1C千元旗舰机","¥758.00","该款月成交 58笔","https://detail.tmall.com/item.htm?id=543855021205&skuId=3729416423732&user_id=1963544026&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"SONY手机官方旗舰店","Sony/索尼 E68834K屏 2300万相机 指纹解锁 产品","¥2999.00","该款月成交 55笔","https://detail.tmall.com/item.htm?id=522941831670&skuId=3131676052356&user_id=2528566607&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"moto摩托罗拉旗舰店","Motorola/摩托罗拉 Z2 PLAY模块手机 智能AI","¥2999.00","该款月成交 79笔","https://detail.tmall.com/item.htm?id=556114547968&skuId=3436428080510&user_id=2380534912&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"蓝港数码专营店","Samsung/三星 Galaxy S7 Edge SM-G9350双曲屏防尘防水超强夜拍","¥3398.00","该款月成交 991笔","https://detail.tmall.com/item.htm?id=528380792805&skuId=3199645126139&user_id=2215302589&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"三星宏远祥龙专卖店","Samsung/三星 Galaxy Folder SM-G1600","¥1459.00","该款月成交 193笔","https://detail.tmall.com/item.htm?id=543513895408&skuId=3434793122977&user_id=1847396744&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"三星手机专卖店","Samsung/三星 Galaxy C5 Pro SM-C5010前后1600万亮颜自拍 4+64G 超薄","¥1598.00","该款月成交 486笔","https://detail.tmall.com/item.htm?id=545442097778&skuId=3443752845517&user_id=3065565110&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"盛世网通数码专营店","Coolpad/酷派 V1-C电信4G双卡双待安全双系统大屏","¥759.00","该款月成交 120笔","https://detail.tmall.com/item.htm?id=561481601416&skuId=3683793978682&user_id=1904071644&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"华为官方旗舰店","Huawei/华为 nova 2s6英寸全面屏 2000万四镜头","¥2999.00","该款月成交 2.6万笔","https://detail.tmall.com/item.htm?id=562335315406&skuId=3707889846414&user_id=2838892713&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"华为官方旗舰店","Huawei/华为 Mate 10","¥3899.00","该款月成交 9719笔","https://detail.tmall.com/item.htm?id=559845752539&skuId=3660324494672&user_id=2838892713&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"苏宁易购官方旗舰店","OPPO R11s Plus更好用的全面屏手机","¥3299.00","该款月成交 6357笔","https://detail.tmall.com/item.htm?id=561387556129&skuId=3519080729731&user_id=2616970884&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"苏宁易购官方旗舰店","Xiaomi/小米 小米手机6变焦双摄 拍人更美","¥2499.00","该款月成交 2.6万笔","https://detail.tmall.com/item.htm?id=549000236730&skuId=3681339658374&user_id=2616970884&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"荣耀官方旗舰店","honor/荣耀 荣耀92000万变焦双摄","¥2299.00","该款月成交 2.1万笔","https://detail.tmall.com/item.htm?id=552919553653&skuId=3435482441394&user_id=1114511827&cat_id=2&is_b=1&rn=cdcd2e233c56e2668ef714e84eb3b9bc",
"Apple Store 官方旗舰店","Apple/苹果 iPhone SE","¥3788.00",,"https://detail.tmall.com/item.htm?id=528626569241&skuId=4611686547053957145&user_id=1917047079&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"小米官方旗舰店","Xiaomi/小米 红米Note4X 32G多彩金属机身 大电池长续航","¥899.00","该款月成交 2.1万笔","https://detail.tmall.com/item.htm?id=544931867895&skuId=3449956778051&user_id=1714128138&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"荣耀官方旗舰店","honor/荣耀 荣耀8青春版双2.5D玻璃 10级美颜","¥1399.00","该款月成交 1.7万笔","https://detail.tmall.com/item.htm?id=545094447711&skuId=3463804288029&user_id=1114511827&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"小米官方旗舰店","Xiaomi/小米 红米手机4A5""高清屏 3120mAh电池 13MP相机","¥549.00","该款月成交 2.4万笔","https://detail.tmall.com/item.htm?id=541222089489&skuId=3250111248849&user_id=1714128138&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"三际数码官方旗舰店","honor/荣耀 荣耀8双镜头 双2.5D玻璃","¥1599.00","该款月成交 1.5万笔","https://detail.tmall.com/item.htm?id=535534478313&skuId=3730032338376&user_id=268451883&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"vivo官方旗舰店","vivo Y66i5.5英寸高清屏 面部识别","¥1198.00","该款月成交 7559笔","https://detail.tmall.com/item.htm?id=561771792328&skuId=3523739328683&user_id=883737303&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"vivo官方旗舰店","vivo Y79照亮你的美","¥1998.00","该款月成交 4704笔","https://detail.tmall.com/item.htm?id=559858377418&skuId=3659776887899&user_id=883737303&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"三星官方旗舰店","Samsung/三星 GALAXY C8 SM-C7100金属机身 双摄像头 指纹识别","¥2399.00","该款月成交 647笔","https://detail.tmall.com/item.htm?id=558415749924&skuId=3636971875420&user_id=370627083&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"魅族官方旗舰店","Meizu/魅族 魅蓝6八核AI加速 正面指纹识别","¥699.00","该款月成交 2.0万笔","https://detail.tmall.com/item.htm?id=558540134751&skuId=3479172377035&user_id=1695308781&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"魅族官方旗舰店","Meizu/魅族 魅蓝E25.5英寸全高清屏","¥899.00","该款月成交 8595笔","https://detail.tmall.com/item.htm?id=549066366714&skuId=3341152152025&user_id=1695308781&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"努比亚官方旗舰店","nubia/努比亚 Z17无边框设计 骁龙835","¥2299.00","该款月成交 1988笔","https://detail.tmall.com/item.htm?id=554777854540&skuId=3418805884640&user_id=1677335387&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"君问数码官方旗舰店","Meizu/魅族 魅蓝note54000mAh电池/安全快充","¥699.00","该款月成交 9112笔","https://detail.tmall.com/item.htm?id=542917433872&skuId=3357526100507&user_id=1115488308&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"oppo手机官方旗舰店","OPPO A57黑色前置1600万|指纹识别|3+32G","¥1299.00","该款月成交 539笔","https://detail.tmall.com/item.htm?id=546337019338&skuId=3698845135790&user_id=901409638&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"华为莫问专卖店","Huawei/华为 P9全网通徕卡双摄像头；大光圈模式","¥2299.00","该款月成交 346笔","https://detail.tmall.com/item.htm?id=530839502677&skuId=3633148387454&user_id=2615238525&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"君问数码官方旗舰店","Meizu/魅族 魅蓝5s指纹支付全网通","¥689.00","该款月成交 4172笔","https://detail.tmall.com/item.htm?id=544949770760&skuId=3521256108681&user_id=1115488308&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"努比亚官方旗舰店","nubia/努比亚 Z17minis四摄","¥1699.00","该款月成交 1325笔","https://detail.tmall.com/item.htm?id=559378766802&skuId=3650996235771&user_id=1677335387&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"金立手机旗舰店","Gionee/金立 M6 Plus持久待机 6020毫安大电池 全网通","¥2399.00","该款月成交 497笔","https://detail.tmall.com/item.htm?id=536136352808&skuId=3198628319342&user_id=720912157&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"金立手机旗舰店","Gionee/金立 M6超长待机 4G+64G 全网通","¥1999.00","该款月成交 230笔","https://detail.tmall.com/item.htm?id=536194586591&skuId=3200233586826&user_id=720912157&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"三星官方旗舰店","Samsung/三星 SM-J3300操作系统Android 7.1  3+32G","¥1399.00","该款月成交 1022笔","https://detail.tmall.com/item.htm?id=555509488814&skuId=3431017584775&user_id=370627083&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"岸越数码专营店","Xiaomi/小米 红米手机34000mAh电池超长待机","¥499.00","该款月成交 119笔","https://detail.tmall.com/item.htm?id=563957058794&skuId=3722540082439&user_id=872196368&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"岸越数码专营店","Xiaomi/小米 红米Note 3全金属机身 指纹解锁","¥749.00","该款月成交 410笔","https://detail.tmall.com/item.htm?id=561827153087&skuId=3526872744880&user_id=872196368&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"华为莫问专卖店","Huawei/华为 P9徕卡双摄像头；大光圈模式","¥1788.00","该款月成交 139笔","https://detail.tmall.com/item.htm?id=530858953537&skuId=3467935820118&user_id=2615238525&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"博海宇通数码专营店","Coolpad/酷派 A8-930私密安全系统 金属机身指纹解锁","¥799.00","该款月成交 141笔","https://detail.tmall.com/item.htm?id=524728283392&skuId=3522205534573&user_id=1963544026&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"晋商兆睿数码专营店","ZTE/中兴 C20166.0英寸大屏幕","¥999.00","该款月成交 29笔","https://detail.tmall.com/item.htm?id=527443616784&skuId=3138539112243&user_id=1124960044&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"晋商兆睿数码专营店","ZTE/中兴 Blade A2(BV0720)金属机身2.5D屏幕指纹识别全网通","¥599.00","该款月成交 135笔","https://detail.tmall.com/item.htm?id=543187526800&skuId=3484122517008&user_id=1124960044&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"蓝港数码专营店","Samsung/三星 Galaxy A9 SM-A91006吋 8核心 1600万像素 急速充电","¥2188.00","该款月成交 64笔","https://detail.tmall.com/item.htm?id=529022040712&skuId=3150108594988&user_id=2215302589&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"民讯通数码专营店","Lenovo/联想 P2c72大毫安电容量 商务手机 全网通","¥1539.00","该款月成交 86笔","https://detail.tmall.com/item.htm?id=542339227797&skuId=3259128372302&user_id=292642853&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"旭翼数码专营店","Huawei/华为 P9 plus高清大屏 徕卡双摄像头","¥2518.00","该款月成交 127笔","https://detail.tmall.com/item.htm?id=553039440482&skuId=3629430751640&user_id=682299517&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"中国移动官方旗舰店","Meizu/魅族 魅蓝E正面指纹识别 美颜自拍","¥726.00","该款月成交 2516笔","https://detail.tmall.com/item.htm?id=537228634075&skuId=3219422289813&user_id=1776456424&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"vivo欧曙专卖店","vivo XPlay6磨砂黑","¥3998.00","该款月成交 16笔","https://detail.tmall.com/item.htm?id=547179941505&skuId=3476173594063&user_id=1637289231&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"金立金声专卖店","Gionee/金立 金钢 全网通全网通 3G内存 超长待机","¥799.00","该款月成交 116笔","https://detail.tmall.com/item.htm?id=526149446556&skuId=3132256033291&user_id=1661991562&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"魅族海荣同济专卖店","Meizu/魅族 MX6全网通公开版24W安全快充/十核大运存","¥1009.00","该款月成交 91笔","https://detail.tmall.com/item.htm?id=562004467145&skuId=3690287647363&user_id=2311150282&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"旭翼数码专营店","Huawei/华为 Mate8全网通 4G","¥2348.00","该款月成交 73笔","https://detail.tmall.com/item.htm?id=547606852089&skuId=3317810380389&user_id=682299517&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"华飞数码专营店","Coolpad/酷派 C106-7","¥789.00","该款月成交 118笔","https://detail.tmall.com/item.htm?id=552091160542&skuId=3545200626560&user_id=1657780380&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"博珏数码专营店","Xiaomi/小米 红米Note4 32G十核处理器 全金属机身","¥859.00","该款月成交 78笔","https://detail.tmall.com/item.htm?id=564185476710&skuId=3564446465499&user_id=865186036&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"vivo智轩优品专卖店","vivo X20全面屏全面屏时代即将来临","¥2998.00","该款月成交 160笔","https://detail.tmall.com/item.htm?id=559253310340&skuId=3648319406430&user_id=1999920158&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"蓝港数码专营店","honor/荣耀 荣耀8青春版 标配版","¥918.00","该款月成交 330笔","https://detail.tmall.com/item.htm?id=546117634765&skuId=3304086636263&user_id=2215302589&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"vivo智轩优品专卖店","vivo X9s活力蓝2000万双摄新升级","¥1998.00","该款月成交 106笔","https://detail.tmall.com/item.htm?id=556277053307&skuId=3636331170471&user_id=1999920158&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
"广东电信亿品汇专卖店","Xiaomi/小米 小米Max2 4+64G6.44‘大屏 充电宝级电量","¥1349.00","该款月成交 235笔","https://detail.tmall.com/item.htm?id=552709579994&skuId=3647648123427&user_id=2024314280&cat_id=2&is_b=1&rn=56165c24dccd9a6498360a0716eea903",
