"dpmc","cpmc","cpjg","cpxl","splj","cppj"
"华为莫问专卖店","Huawei/华为 Mate 9麒麟960芯片 徕卡双镜头","¥3399.00","该款月成交 1693笔","https://detail.tmall.com/item.htm?id=541205219981&skuId=3719733714203&user_id=2615238525&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"vivo官方旗舰店","vivo XPlay6曲面2K屏 后置双摄","¥3498.00","该款月成交 1582笔","https://detail.tmall.com/item.htm?id=541929707682&skuId=3546741418045&user_id=883737303&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"首佳誉数码专营店","vivo y665.5英寸大屏 美颜自拍","¥1198.00","该款月成交 5828笔","https://detail.tmall.com/item.htm?id=543137938328&skuId=3267332129074&user_id=1824502713&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"广东电信亿品汇专卖店","honor/荣耀 荣耀V9全网通1200万像素双镜头","¥2499.00","该款月成交 1679笔","https://detail.tmall.com/item.htm?id=545491415966&skuId=3566964988886&user_id=2024314280&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"君问数码官方旗舰店","Huawei/华为 畅享6S纤薄金属机身，5英寸高清","¥785.00","该款月成交 8473笔","https://detail.tmall.com/item.htm?id=543324007602&skuId=3688764931319&user_id=1115488308&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"君问数码官方旗舰店","honor/荣耀 畅玩6X千元双摄/大内存/持久长续航","¥1099.00","该款月成交 2408笔","https://detail.tmall.com/item.htm?id=540282356610&skuId=3727250587391&user_id=1115488308&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"恒波官方旗舰店","Huawei/华为 nova 青春版柔光护眼屏 自拍背景虚化","¥1399.00","该款月成交 1568笔","https://detail.tmall.com/item.htm?id=547267131225&skuId=3476955847562&user_id=1791947350&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"魅族官方旗舰店","Meizu/魅族 魅蓝 Note6后置双摄 骁龙处理器","¥999.00","该款月成交 4.8万笔","https://detail.tmall.com/item.htm?id=557156077822&skuId=3644690111774&user_id=1695308781&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"oppo手机官方旗舰店","OPPO A83","¥1399.00","该款月成交 1.3万笔","https://detail.tmall.com/item.htm?id=563382155465&skuId=3546652176438&user_id=901409638&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"魅族官方旗舰店","Meizu/魅族 魅蓝 S6魅蓝新品","¥1199.00","该款月成交 3.0万笔","https://detail.tmall.com/item.htm?id=563484952650&skuId=3727806222091&user_id=1695308781&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"美图百诚世纪专卖店","Meitu/美图 T8智能美颜、拍照手机","¥2958.00","该款月成交 2800笔","https://detail.tmall.com/item.htm?id=545255794359&skuId=3570600619857&user_id=2973189474&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"华为莫问专卖店","Huawei/华为 nova 2两千万高清美拍 光学变焦","¥1699.00","该款月成交 4533笔","https://detail.tmall.com/item.htm?id=551624867681&skuId=3548485476566&user_id=2615238525&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
